,danceability,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo,year,release_date,track_id
258,0.331,0.943,-3.188,0.0698,2.06e-06,0.242,0.296,94.612,,,
259,0.545,0.865,-5.708,0.0286,1.1e-05,0.168,0.543,99.009,,,
260,0.498,0.83,-5.157,0.0421,0.0,0.139,0.453,89.342,,,
261,0.64,0.957,-2.336,0.0741,0.0,0.0789,0.692,134.992,,,
262,0.341,0.867,-4.727,0.0492,0.0,0.257,0.2,182.023,,,
263,0.448,0.61,-2.695,0.0342,0.000491,0.135,0.214,123.762,,,
264,0.38,0.988,-2.042,0.0639,7.86e-05,0.368,0.769,186.113,,,
265,0.551,0.913,-4.063,0.0466,1.35e-05,0.347,0.544,119.992,,,
266,0.64,0.743,-4.08,0.0379,0.0,0.101,0.361,122.035,,,
267,0.771,0.676,-6.018,0.223,4.49e-06,0.546,0.804,119.997,,,
268,0.517,0.906,-3.677,0.0735,9.26e-06,0.113,0.731,172.977,,,
269,0.622,0.961,-3.198,0.154,0.0,0.0854,0.449,114.452,,,
270,0.463,0.857,-3.063,0.0632,0.0,0.184,0.856,111.647,,,
271,0.179,0.912,-3.881,0.0791,0.000294,0.582,0.289,182.99,,,
272,0.433,0.959,-4.04,0.0431,0.0,0.028,0.365,172.984,,,
273,0.583,0.586,-5.683,0.0518,0.000633,0.494,0.622,167.798,,,
274,0.37,0.858,-4.885,0.0545,2.12e-05,0.229,0.464,175.077,,,
275,0.608,0.885,-4.296,0.0963,1.33e-05,0.392,0.518,125.023,,,
276,0.576,0.989,-1.909,0.112,0.0032,0.0243,0.352,135.093,,,
277,0.554,0.949,-4.928,0.0787,9.98e-05,0.2,0.233,129.984,,,
278,0.354,0.982,-3.026,0.168,0.000294,0.204,0.194,143.772,,,
279,0.695,0.876,-4.262,0.0553,6.89e-06,0.106,0.941,89.954,,,
280,0.429,0.966,-4.605,0.0733,0.124,0.371,0.525,179.956,,,
281,0.463,0.962,-6.43,0.0704,0.109,0.0906,0.66,94.003,,,
282,0.487,0.949,-4.217,0.0798,2.91e-05,0.231,0.406,110.02,,,
283,0.533,0.967,-2.543,0.0995,0.0,0.336,0.782,142.018,,,
284,0.553,0.853,-3.668,0.0339,0.0,0.126,0.506,122.023,,,
285,0.656,0.932,-3.405,0.0708,0.00147,0.144,0.544,130.936,,,
286,0.404,0.969,-2.938,0.195,0.0114,0.268,0.29,173.878,,,
287,0.214,0.931,-3.347,0.143,3.09e-06,0.0797,0.233,162.115,,,
288,0.569,0.883,-4.41,0.0748,7.74e-05,0.0883,0.373,134.001,,,
289,0.545,0.753,-4.618,0.036,0.0,0.389,0.434,105.754,,,
290,0.198,0.977,-3.499,0.173,4.62e-05,0.23,0.351,195.795,,,
291,0.291,0.974,-2.997,0.171,5.44e-06,0.886,0.348,134.724,,,
292,0.538,0.981,-2.688,0.14,0.0,0.219,0.711,101.414,,,
293,0.567,0.946,-3.973,0.0935,0.0,0.0567,0.699,94.985,,,
294,0.359,0.959,-3.685,0.104,0.00343,0.435,0.158,103.038,,,
295,0.197,0.956,-2.908,0.0663,0.00992,0.261,0.209,177.018,,,
296,0.353,0.898,-5.877,0.052,0.105,0.39,0.525,103.293,,,
297,0.469,0.976,-3.569,0.111,0.217,0.0636,0.222,124.001,,,
298,0.368,0.981,-4.084,0.12,0.00549,0.129,0.277,165.018,,,
299,0.512,0.996,-2.1,0.114,0.000167,0.347,0.0601,130.931,,,
300,0.58,0.916,-4.358,0.0387,0.0259,0.126,0.683,118.004,,,
301,0.477,0.94,-3.435,0.103,0.0518,0.346,0.338,76.517,,,
302,0.445,0.98,-4.369,0.0731,0.163,0.129,0.285,155.045,,,
303,0.374,0.92,-4.653,0.0501,0.026,0.0802,0.278,191.014,,,
304,0.529,0.953,-4.562,0.0594,0.000487,0.146,0.279,134.968,,,
305,0.31,0.903,-4.11,0.0514,3.12e-05,0.974,0.198,108.362,,,
306,0.43,0.934,-6.107,0.0862,0.484,0.354,0.449,94.989,,,
307,0.548,0.918,-5.73,0.0545,0.0286,0.0797,0.28,107.977,,,
308,0.306,0.995,-3.203,0.1,0.00859,0.254,0.135,127.908,,,
309,0.547,0.963,-2.337,0.0744,0.0251,0.353,0.441,130.061,,,
310,0.48,0.988,-3.229,0.0838,0.00432,0.389,0.252,124.041,,,
311,0.517,0.977,-4.627,0.0741,0.00129,0.105,0.135,121.503,,,
312,0.666,0.942,-3.356,0.0591,0.0,0.114,0.581,110.019,,,
313,0.598,0.954,-4.86,0.0801,2.86e-05,0.127,0.235,100.98,,,
314,0.623,0.957,-3.719,0.0493,1.7e-05,0.129,0.39,122.467,,,
315,0.564,0.664,-6.604,0.0435,0.0144,0.103,0.899,123.953,,,
316,0.246,0.991,-3.903,0.087,0.0753,0.867,0.415,159.39,,,
317,0.169,0.932,-6.879,0.118,1.09e-06,0.317,0.267,164.938,,,
318,0.218,0.881,-5.049,0.0577,0.423,0.375,0.382,105.116,,,
319,0.496,0.926,-3.257,0.041,0.787,0.293,0.49,109.959,,,
320,0.703,0.736,-5.709,0.046,1.92e-05,0.174,0.274,119.955,,,
321,0.775,0.68,-5.508,0.0629,0.0,0.109,0.656,114.025,,,
322,0.479,0.889,-2.489,0.328,1.65e-05,0.346,0.79,173.136,,,
323,0.705,0.718,-5.912,0.0254,9.82e-05,0.296,0.617,120.016,,,
324,0.19,0.265,-9.206,0.0356,0.0,0.134,0.101,79.012,,,
325,0.491,0.744,-6.306,0.0351,0.000102,0.325,0.375,125.058,,,
326,0.423,0.949,-6.053,0.0582,0.0338,0.457,0.482,159.037,,,
327,0.751,0.731,-4.419,0.0308,0.0,0.0556,0.973,97.007,,,
328,0.676,0.839,-3.922,0.033,0.0,0.0885,0.891,94.013,,,
329,0.541,0.968,-4.129,0.0396,8.28e-06,0.423,0.505,125.04,,,
330,0.645,0.713,-5.355,0.0393,0.0,0.113,0.566,74.989,,,
331,0.111,0.952,-4.864,0.131,0.00645,0.345,0.126,200.074,,,
332,0.235,0.968,-4.758,0.0901,0.0,0.225,0.277,87.955,,,
333,0.137,0.988,-3.369,0.174,0.000711,0.397,0.288,199.993,,,
334,0.623,0.938,-4.161,0.123,0.000852,0.48,0.308,112.022,,,
335,0.412,0.998,-3.683,0.116,0.0199,0.122,0.193,94.999,,,
336,0.506,0.967,-2.973,0.0451,0.41,0.167,0.488,129.704,,,
337,0.246,0.954,-3.811,0.0975,0.291,0.126,0.164,97.553,,,
338,0.224,0.842,-7.283,0.0389,0.693,0.112,0.526,166.441,,,
339,0.461,0.961,-3.011,0.0479,0.14,0.308,0.416,96.009,,,
340,0.523,0.979,-4.214,0.161,2.81e-05,0.153,0.181,125.041,,,
341,0.501,0.968,-5.324,0.12,0.00868,0.683,0.392,149.989,,,
342,0.404,0.964,-4.569,0.115,5.16e-06,0.0888,0.24,84.996,,,
343,0.456,0.968,-3.63,0.0902,0.00111,0.184,0.499,150.002,,,
344,0.841,0.728,-3.37,0.0484,0.0,0.149,0.43,130.049,,,
